App Name,Downloads/M 的總和,Last Update Date,rate 的總和,Release Date,Revenue/M 的總和
Stack Jump,1000,2024-08-13 00:00:00 UTC,1,2017-11-07 00:00:00 UTC,1000
Stack Merge 3D,1000,2019-11-12 00:00:00 UTC,1,2019-10-30 00:00:00 UTC,1000
Stack N Sort,1000,2024-05-22 00:00:00 UTC,1,2024-04-11 00:00:00 UTC,1000
Stair Run,1000,2024-06-04 00:00:00 UTC,1,2020-09-15 00:00:00 UTC,1000
Sticky Block,1000,2020-11-17 00:00:00 UTC,1,2019-08-22 00:00:00 UTC,1000
Sticky Flip,1000,2021-05-28 00:00:00 UTC,1,2021-04-30 00:00:00 UTC,1000
Strong Pusher,1000,2023-02-14 00:00:00 UTC,1,2020-11-25 00:00:00 UTC,1000
Stunt Rails,1000,2024-12-23 00:00:00 UTC,1,2022-07-01 00:00:00 UTC,1000
Super Sniper!,1000,2023-02-28 00:00:00 UTC,1,2020-06-03 00:00:00 UTC,1000
Symmetry Block,1000,2024-06-12 00:00:00 UTC,1,2022-06-14 00:00:00 UTC,1000
Take Your Line,1000,2024-12-24 00:00:00 UTC,1,2022-05-02 00:00:00 UTC,1000
Tetra Bus,10000,2025-06-18 00:00:00 UTC,0.1,2025-02-03 00:00:00 UTC,1000
The Cube,1000,2024-05-28 00:00:00 UTC,1,2018-05-14 00:00:00 UTC,1000
The Fish Master!,1000,2019-07-22 00:00:00 UTC,1,2018-07-17 00:00:00 UTC,1000
The Nom,70000,2024-10-25 00:00:00 UTC,0.0142857142857143,2022-11-21 00:00:00 UTC,1000
This is Blast!,50000,2025-06-24 00:00:00 UTC,1,2024-11-20 00:00:00 UTC,50000
Throw Blocks,1000,2025-06-18 00:00:00 UTC,9,2024-02-19 00:00:00 UTC,9000
Tiny Clash!,50000,2025-05-14 00:00:00 UTC,0.4,2024-09-11 00:00:00 UTC,20000
Titans 3D,40000,2025-06-02 00:00:00 UTC,0.025,2021-04-29 00:00:00 UTC,1000
Touch The Wall,1000,2023-03-02 00:00:00 UTC,1,2019-06-29 00:00:00 UTC,1000
Touchdown Master,1000,2024-10-31 00:00:00 UTC,1,2020-07-21 00:00:00 UTC,1000
Tower Builder 3D!,1000,2023-12-29 00:00:00 UTC,1,2022-05-21 00:00:00 UTC,1000
Tower Control Manager,90000,2025-06-10 00:00:00 UTC,0.111111111111111,2024-02-24 00:00:00 UTC,10000
Tower Run,1000,2024-12-28 00:00:00 UTC,1,2020-03-22 00:00:00 UTC,1000
Town Takeover,1000,2021-08-27 00:00:00 UTC,1,2021-08-24 00:00:00 UTC,1000
Trampwall,1000,2024-11-25 00:00:00 UTC,1,2021-10-22 00:00:00 UTC,1000
Tricky Track 3D,10000,2024-05-23 00:00:00 UTC,0.1,2020-12-18 00:00:00 UTC,1000
Trivia Planet!,20000,2024-05-24 00:00:00 UTC,0.05,2021-04-19 00:00:00 UTC,1000
Twin Tennis,30000,2025-02-14 00:00:00 UTC,0.0333333333333333,2023-04-13 00:00:00 UTC,1000
UBoat Attack,500000,2025-05-20 00:00:00 UTC,0.1,2021-07-18 00:00:00 UTC,50000
Voodoo Sauce Test App,1000,2019-01-11 00:00:00 UTC,1,"",1000
Voro,1000,2024-07-03 00:00:00 UTC,1,2024-06-11 00:00:00 UTC,1000
Wacky Run,1000,2025-04-03 00:00:00 UTC,1,2020-11-06 00:00:00 UTC,1000
Walkers Attack,60000,2025-06-13 00:00:00 UTC,0.833333333333334,2023-06-02 00:00:00 UTC,50000
War Plane Strike: Sky Combat,100000,2025-02-10 00:00:00 UTC,0.01,2023-03-06 00:00:00 UTC,1000
Water Power,30000,2025-06-18 00:00:00 UTC,0.333333333333333,2022-12-22 00:00:00 UTC,10000
Waves,1000,2019-02-25 00:00:00 UTC,1,2018-07-23 00:00:00 UTC,1000
Weight Runner 3D,1000,2023-03-08 00:00:00 UTC,1,2021-06-03 00:00:00 UTC,1000
Wet Hoops,20000,2024-12-23 00:00:00 UTC,0.05,2021-06-15 00:00:00 UTC,1000
What The Fight,9000,2024-05-22 00:00:00 UTC,0.111111111111111,2020-07-02 00:00:00 UTC,1000
What Word?!,1000,2022-03-09 00:00:00 UTC,1,2022-01-06 00:00:00 UTC,1000
Wind Rider!,1000,2023-02-28 00:00:00 UTC,1,2018-12-05 00:00:00 UTC,1000
Woodturning,1000000,2025-06-17 00:00:00 UTC,0.001,2020-01-09 00:00:00 UTC,1000
Word Web!,1000,2024-06-12 00:00:00 UTC,1,2022-07-05 00:00:00 UTC,1000
Yoga para Casais,1000,2024-12-10 00:00:00 UTC,1,2021-05-05 00:00:00 UTC,1000
Бой с мешками (Bag Fight),20000,2025-04-23 00:00:00 UTC,0.3,2024-03-01 00:00:00 UTC,6000
Шестнадцатеричная защита!,300000,2025-06-14 00:00:00 UTC,0.0333333333333333,2024-12-16 00:00:00 UTC,10000
