App Name,Downloads/M 的總和,Last Update Date,rate 的總和,Release Date,Revenue/M 的總和
Pinbo Quest,1000,2024-12-12 00:00:00 UTC,1,2023-12-11 00:00:00 UTC,1000
Pixel Hit,1000,2021-12-09 00:00:00 UTC,1,2021-12-09 00:00:00 UTC,1000
Planes.io,1000,2017-02-24 00:00:00 UTC,1,"",1000
Planet Bomber!,1000,2025-05-16 00:00:00 UTC,1,2018-09-19 00:00:00 UTC,1000
Plantopia - Merge Garden,1000,2021-12-07 00:00:00 UTC,1,2021-07-15 00:00:00 UTC,1000
Pokey Ball,1000,2024-04-16 00:00:00 UTC,1,2019-11-28 00:00:00 UTC,1000
Puff Up - Balloon puzzle game,1000000,2025-03-23 00:00:00 UTC,0.001,2022-03-25 00:00:00 UTC,1000
Purple Diver,40000,2025-04-01 00:00:00 UTC,0.025,2019-05-24 00:00:00 UTC,1000
Push'em all,10000,2025-03-07 00:00:00 UTC,0.1,2019-12-04 00:00:00 UTC,1000
Pusher 3D,1000,2023-03-02 00:00:00 UTC,1,2021-03-12 00:00:00 UTC,1000
Qiks,1000,2024-12-19 00:00:00 UTC,1,2021-10-22 00:00:00 UTC,1000
Quiz Run - Jeu fun entre amis,1000,2015-07-28 00:00:00 UTC,1,"",1000
Quiz Run ! Jeu cool entre amis,1000,2016-06-20 00:00:00 UTC,1,"",1000
Ragduel,1000,2024-05-22 00:00:00 UTC,1,2020-06-19 00:00:00 UTC,1000
Rage Swarm,1000,2025-01-15 00:00:00 UTC,1,2023-12-08 00:00:00 UTC,1000
Rock Crawler,30000,2025-02-20 00:00:00 UTC,0.0333333333333333,2015-07-07 00:00:00 UTC,1000
Rock of Destruction,1000,2018-08-02 00:00:00 UTC,1,2018-07-10 00:00:00 UTC,1000
Rock of Destruction!,1000,2021-08-04 00:00:00 UTC,1,2018-10-25 00:00:00 UTC,1000
Roller Smash,1000,2019-11-25 00:00:00 UTC,1,2019-09-05 00:00:00 UTC,1000
Roller Splat!,1000,2025-05-19 00:00:00 UTC,1,2019-03-18 00:00:00 UTC,1000
Rolly Legs,90000,2025-06-23 00:00:00 UTC,0.0111111111111111,2020-04-30 00:00:00 UTC,1000
Rolly Vortex,1000,2025-01-21 00:00:00 UTC,1,2017-12-06 00:00:00 UTC,1000
Roof Rails,20000,2025-04-24 00:00:00 UTC,0.05,2020-10-27 00:00:00 UTC,1000
Rope and Demolish,600000,2025-06-12 00:00:00 UTC,0.00166666666666667,2022-04-25 00:00:00 UTC,1000
Royal Castle!,1000,2025-02-07 00:00:00 UTC,1,2023-02-16 00:00:00 UTC,1000
Royal Defense!,1000,2023-01-06 00:00:00 UTC,1,2022-10-11 00:00:00 UTC,1000
Run Healthy,1000,2024-12-13 00:00:00 UTC,1,2021-09-10 00:00:00 UTC,1000
Run of Life,1000,2025-05-28 00:00:00 UTC,1,2021-04-23 00:00:00 UTC,1000
Run Rich 3D,1000,2025-01-06 00:00:00 UTC,1,2021-06-18 00:00:00 UTC,1000
